Geo Point;Geo Shape;Behinderte Grad;Kategorie;Bezeichnung;Zusatz;Adressezusatz;Firma;Vorname;Name;Adresse;Ort;Land;Öffnungszeiten;Information;Behinderte Info;Telefon;Mobil;Fax;PLZ
47.4116936941,9.3309209422;"{""type"": ""Point"", ""coordinates"": [9.330920942204653, 47.41169369405445]}";unbekannt;Kindergärten;Kindergarten Austrasse;;;;;;Austrasse 11;St.Gallen;Schweiz;;;;41714992098;;;9014
47.429787374,9.3920723207;"{""type"": ""Point"", ""coordinates"": [9.392072320702239, 47.429787373978506]}";unbekannt;Kindergärten;Kindergarten Falkensteinstrasse 8;;;;;;Falkensteinstrasse 8;St.Gallen;Schweiz;;;;41714992136;;;9000
47.4291455078,9.39676443976;"{""type"": ""Point"", ""coordinates"": [9.396764439758243, 47.42914550780238]}";unbekannt;Kindergärten;Kindergarten Flurhofstrasse;;;;;;Flurhofstrasse 74;St.Gallen;Schweiz;;;;41714992137;;;9000
47.4379737753,9.39042903945;"{""type"": ""Point"", ""coordinates"": [9.390429039445094, 47.43797377525658]}";unbekannt;Kindergärten;Kindergarten Güetlistrasse I;;;;;;Güetlistrasse 6;St.Gallen;Schweiz;;;;41714992075;;;9008
47.4183362127,9.38184149495;"{""type"": ""Point"", ""coordinates"": [9.381841494945679, 47.4183362127359]}";unbekannt;Kindergärten;Kindergarten Hebelstrasse;;;;;;Hebelstrasse 8;St.Gallen;Schweiz;;;;41714992198;;;9000
47.4459035431,9.40537021468;"{""type"": ""Point"", ""coordinates"": [9.405370214680415, 47.4459035431415]}";unbekannt;Kindergärten;Kindergarten Kesselhaldenstrasse;;;;;;Kesselhaldenstrasse 64;St.Gallen;Schweiz;;;;41714992325;;;9016
47.432672534,9.40287999016;"{""type"": ""Point"", ""coordinates"": [9.40287999015668, 47.43267253399935]}";unbekannt;Kindergärten;Kindergarten Rappensteinweg;;;;;;Rappensteinweg 5;St.Gallen;Schweiz;;;;41714992138;;;9000
47.4334409038,9.39714597631;"{""type"": ""Point"", ""coordinates"": [9.397145976309861, 47.433440903805725]}";unbekannt;Kindergärten;Kindergarten Wiesentalstrasse 23 II;;;;;;Wiesentalstrasse 23;St.Gallen;Schweiz;;;;41714992348;;;9000
47.4032063326,9.33406158638;"{""type"": ""Point"", ""coordinates"": [9.334061586384845, 47.40320633257432]}";bedingt behindertengerecht;Schulhäuser;Schulhaus Boppartshof;Primarschule;;;;;Wolfgangstrasse 15;St.Gallen;Schweiz;;;WC in Trakt A und B, nur Erdgeschosse sind Zugänglich;41714992000;;41712788076;9014
47.4122694611,9.33335450943;"{""type"": ""Point"", ""coordinates"": [9.33335450943171, 47.4122694610655]}";bedingt behindertengerecht;Schulhäuser;Oberstufenschulhaus Engelwies;Realschule;;;;;Engelwiesstrasse 1;St.Gallen;Schweiz;;;Zugang mit Hilfe über Treppe möglich, Lift und WC vorhanden;41714992080;;41712788832;9014
