,Bezeichnung,Kategorie,lat,lon
8,Schulhaus Boppartshof,Schulhäuser,47.4032063326,9.33406158638
9,Oberstufenschulhaus Engelwies,Schulhäuser,47.4122694611,9.33335450943
10,Schulhaus Riethüsli,Schulhäuser,47.4112171875,9.36504916362
11,Schulhaus Schönenwegen,Schulhäuser,47.4170458055,9.3499343434
12,Oberstufenschulhaus Zil,Schulhäuser,47.4450745611,9.41008755156
21,Musikschule MSG,Schulhäuser,47.4265557145,9.3808466574
39,Oberstufenschulhaus Blumenau,Schulhäuser,47.4282329655,9.37914573631
40,Schulhaus Buchwald,Schulhäuser,47.4368430733,9.39301400443
41,Schulhaus Engelwies Primarschule,Schulhäuser,47.4120940801,9.33290226622
42,Schulhaus Grossacker,Schulhäuser,47.4295864139,9.39646623984
43,Schulhaus Krontal,Schulhäuser,47.4339394889,9.39768401654
44,Schulhaus St. Leonhard,Schulhäuser,47.4207501078,9.3688596866
56,Rock und Pop Center,Schulhäuser,47.4190431082,9.35644586984
62,Time out-Schule,Schulhäuser,47.4145685848,9.39108953715
78,Schulhaus Bach,Schulhäuser,47.4151667808,9.38887919239
79,Schulhaus Hof,Schulhäuser,47.404428463,9.31762878951
80,Klosterschulhaus,Schulhäuser,47.4227775318,9.37719149174
81,Schulhaus Kreuzbühl,Schulhäuser,47.4018446748,9.29878708652
82,Notkerschulhaus,Schulhäuser,47.4384540329,9.40583863135
83,Schulhaus Oberzil,Schulhäuser,47.4416665127,9.41048955937
84,Schulhaus Rotmonten,Schulhäuser,47.4368771375,9.37629359797
85,Oberstufenschulhaus Schönau,Schulhäuser,47.417029756,9.34725086865
96,Oberstufenschulhaus Buchental,Schulhäuser,47.4352198945,9.39833860993
97,Oberstufenschulhaus Bürgli,Schulhäuser,47.4295729736,9.38292573029
98,Gallusschulhaus,Schulhäuser,47.4227583591,9.37860798836
99,Schulhaus Halden,Schulhäuser,47.434589973,9.4114559436
100,Schulhaus Hebel St. Georgen,Schulhäuser,47.4172767562,9.3833117442
101,Schulhaus Spelterini,Schulhäuser,47.4299143009,9.3814771394
120,Schulpavillon Oberzil,Schulhäuser,47.4424925119,9.4113457741
129,Schulhaus Feldli,Schulhäuser,47.4217639846,9.35160234696
130,Schulhaus Gerhalden,Schulhäuser,47.4381393191,9.38600768358
131,Schulhaus Heimat,Schulhäuser,47.4373352871,9.3903864062
132,Schulhaus Schoren,Schulhäuser,47.4242166852,9.35979374826
