,id,properties.name,properties.shop,geometry.coordinates,lat,lon
0,node/60271452,Westcenter,supermarket,"[9.3054501, 47.4066706]",9.3054501,47.4066706
1,node/276847742,Migros,supermarket,"[9.3920818, 47.4356824]",9.3920818,47.4356824
2,node/277251363,Shopping Arena,supermarket,"[9.3049269, 47.4081667]",9.3049269,47.4081667
3,node/336060971,,supermarket,"[9.3488813, 47.4421128]",9.3488813,47.4421128
4,node/360417386,SPAR,supermarket,"[9.3178144, 47.4225889]",9.3178144,47.4225889
5,node/445350477,Volg,supermarket,"[9.4211675, 47.4667218]",9.4211675,47.4667218
6,node/445376406,Coop City,supermarket,"[9.3770371, 47.426162]",9.3770371,47.426162
7,node/660455574,Migros Neudorf,supermarket,"[9.4052429, 47.4371841]",9.4052429,47.4371841
8,node/660656463,Aldi Suisse,supermarket,"[9.416663, 47.4434067]",9.416663,47.4434067
9,node/661094293,Denner,supermarket,"[9.4048908, 47.4370766]",9.4048908,47.4370766
10,node/794048748,Denner,supermarket,"[9.3536615, 47.4188513]",9.3536615,47.4188513
11,node/1003935154,SPAR Supermarkt Wolfganghof,supermarket,"[9.3367154, 47.402848]",9.3367154,47.402848
12,node/1781699424,Coop,supermarket,"[9.3744095, 47.4242333]",9.3744095,47.4242333
13,node/1887445703,Landi,supermarket,"[9.3854277, 47.4596049]",9.3854277,47.4596049
14,node/2264681536,Spar,supermarket,"[9.3853488, 47.3909729]",9.3853488,47.3909729
15,node/2619439550,SPAR,supermarket,"[9.3879383, 47.4606376]",9.3879383,47.4606376
16,node/2619445083,Migros,supermarket,"[9.3889006, 47.4601989]",9.3889006,47.4601989
17,node/3174416269,Migros,supermarket,"[9.3908375, 47.3910729]",9.3908375,47.3910729
18,node/3303851166,Denner,supermarket,"[9.3716169, 47.421646]",9.3716169,47.421646
19,node/3303882792,Migros Grossacker,supermarket,"[9.3963374, 47.4313942]",9.3963374,47.4313942
20,node/3324296281,Migros,supermarket,"[9.3162485, 47.4172408]",9.3162485,47.4172408
21,node/3468387906,,supermarket,"[9.3818507, 47.4166196]",9.3818507,47.4166196
22,node/4625456912,Neumarkt 4,supermarket,"[9.3711404, 47.4205051]",9.3711404,47.4205051
23,node/5058547354,Migros,supermarket,"[9.3780973, 47.4252288]",9.3780973,47.4252288
24,node/5214936109,Migros Bruggen,supermarket,"[9.3351484, 47.4100137]",9.3351484,47.4100137
25,node/5214936110,Denner,supermarket,"[9.3356097, 47.4101208]",9.3356097,47.4101208
26,node/5371303423,Denner,supermarket,"[9.3865985, 47.4354964]",9.3865985,47.4354964
27,node/5371339321,Migros,supermarket,"[9.3862985, 47.435286]",9.3862985,47.435286
28,node/5582222822,Migros,supermarket,"[9.3705595, 47.422221]",9.3705595,47.422221
29,node/5839480820,Spisergass Drogerie + Reformhaus,supermarket,"[9.3785995, 47.4244441]",9.3785995,47.4244441
30,node/5927318017,OTTO'S,supermarket,"[9.3394828, 47.4117103]",9.3394828,47.4117103
31,node/6041664355,Migros Lachen,supermarket,"[9.3540033, 47.4203635]",9.3540033,47.4203635
32,node/8555112321,Aldi,supermarket,"[9.3698656, 47.4219231]",9.3698656,47.4219231
33,node/8661923300,Denner,supermarket,"[9.3947481, 47.4307763]",9.3947481,47.4307763
34,node/8778227061,Denner,supermarket,"[9.3888845, 47.4602935]",9.3888845,47.4602935
